user_id,username,fullname,is_verified,is_private,media_count,follower_count,following_count,bio,website,emails,scrape_of,scraped_at
6923921592,gabrielasantana2349,Gabriela Santana,False,False,25,147,292,,,[],santicomba,2021-05-15 17:42:24.836179
46397224278,distribuidora_cordon,Distribuidora Cordón 🚚,False,False,22,1796,1135,".
🍻Bebidas y alimentos 🍪
.
🛵Abierto de L a V 24 hrs. Sábados de 8 a 14 y de 22 a 6 🕛
.
💰Pagos: Efectivo o Tarjeta 
.
Consultas/pedidos al MD 📩",,[],santicomba,2021-05-15 17:42:24.836179
2231789737,alejandra.banchieri,⏪◀🆎▶⏩ 🇺🇾,False,True,199,1021,1196,"Montevideo-Uruguay
⏩▶️@kine.banchieri
⏩▶️Estudiante de fisioterapia
Que tus actos demuestren más que tus palabras",,[],santicomba,2021-05-15 17:42:24.836179
2691396729,michael20ok,⚡MICHAEL ⚡,False,True,26,9073,4029,"⚡Salto🇺🇾
⚡Nacional🔴🔵⚪",,[],santicomba,2021-05-15 17:42:24.836179
2927698224,vale_sacramento,• 𝑽𝒂𝒍𝒆𝒏 •,False,True,246,1149,1261,"𝙰𝚕𝚌𝚊𝚗𝚣𝚊𝚛 𝚎𝚕 𝚌𝚒𝚎𝚕𝚘 𝚌𝚘𝚗 𝚕𝚘𝚜 𝚙𝚒𝚎𝚜 𝚜𝚘𝚋𝚛𝚎 𝚕𝚊 𝚝𝚒𝚎𝚛𝚛𝚊... 
/ V I V E / A M A / R I E / 
📍MVD 🇺🇾/ BR 🇧🇷
⛸🎿🧘🏼‍♀️ • 🧑🏼‍🎨🎨 • 🤍🐘",,[],santicomba,2021-05-15 17:42:24.836179
42797298063,antojitos_cositas_ricas,,False,False,14,354,833,"• Gral Roca (RN)
• Nosotros te sacamos el antojo😋
•Emprendimiento en familia👩‍👧‍👦",,[],santicomba,2021-05-15 17:42:24.836179
224925453,camipriliac,Camila Priliac,False,False,956,1905,2777,🔮🍒🍭🌺🌙🌊👙👓✌️💜💛💋😻✨💎✈️🎮🎶🎬🎨🍕🍉🌎🔮🍄🌳🌌🌞⚡️🐚🐶🕶👟🐲,http://cpriliac.tumblr.com/,[],santicomba,2021-05-15 17:42:24.836179
1938251255,nataliasena17,Natalia Sena,False,True,56,415,131,"🌎 Montevideo, Uruguay
🌸17/02/99 ♒
🐶 @nalaaa_beagle 🥰",,[],santicomba,2021-05-15 17:42:24.836179
46214296812,adri.10152021,Adriana,False,True,8,37,297,"Born in #montevideo🇺🇾
 living in #miami🇺🇸
 #italy🇮🇹 #dogmom",,[],santicomba,2021-05-15 17:42:24.836179
1755747194,hessenmachado,Hessen Machado,False,False,5,459,489,@drawingbyhess 👩🏻‍🎨✨,,[],santicomba,2021-05-15 17:42:24.836179
3612478143,deboraaltez12,Débora Nicolle Altez Tejeira,False,True,46,2090,2094,"📍Punta del Diablo-Montevideo
⚖️Fder-Udelar",,[],santicomba,2021-05-15 17:42:24.836179
3545257971,noelia_kiri,Noelia González Kirichenko,False,True,115,728,782,"Paysandu.Allavena🏀 Peñarol  🏀.Defensor 🏀 Peñarol⚽️. Tia de Paulino 
""La sencillez y la humildad hacen hermosas a las personas""😍😍",,[],santicomba,2021-05-15 17:42:24.836179
837121455,sebavignoly,Seba Vignoly,False,False,404,2873,2651,"Uruguay
Connect and capture moments 
Outdoor Photographer 
🌲⛰
@sopstudio_ | Architecture
@my.hummus | Food",,[],santicomba,2021-05-15 17:42:24.836179
1584003127,nati_diano,Nati Diano,False,True,1375,326,449,,,[],santicomba,2021-05-15 17:42:24.836179
1389361462,pradagiancarlo,Giancarlo Prada,False,False,293,1938,1338,"🇵🇪🏡 Buenos aires 🇦🇷
♎ Libra
⏳29 años
🎧 techno
📚 gastronomía IAG
""El fracaso es una gran oportunidad para empezar otra vez con más inteligencia"".",,[],santicomba,2021-05-15 17:42:24.836179
1525519789,thewqueen_,Angela Villarreal,False,True,85,2595,911,Somos lo que vibramos,https://instagram.com/wqueens.uy?igshid=didq3tj73y1p,[],santicomba,2021-05-15 17:42:24.836179
44849867146,keyla.jimm_edits,𝑓𝐚𝐥𝐞𝐞,False,False,1,503,1096,"•ᴍᴏɴᴛᴇᴠɪᴅᴇᴏ,ᴜʀᴜɢᴜᴀʏ🇺🇾
•ᴅᴇᴅɪᴄᴀᴅᴀ ᴀʜ @keyla.jimm
•ᴄʀᴇᴀᴅᴀ ᴇʟ 13 ᴅᴇ ᴍᴀʏᴏ ᴅᴇ 2021",,[],santicomba,2021-05-15 17:42:24.836179
1834632400,mar61174,Maru,False,True,358,2217,6112,simplemente .......,,[],santicomba,2021-05-15 17:42:24.836179
31125901354,lulac.cab,Lu,False,True,1,107,740,💙💛,,[],santicomba,2021-05-15 17:42:24.836179
1991633844,lucioperassi,Lucio Perassi,False,True,226,3515,3222,"""Que hablemos, aunque hartemos""
Contador Público-@unc_cordoba
Bailarín folklórico-@despertares_ballet
✈🇦🇷 🇧🇷 🇨🇱 🇲🇽 🇵🇾 🇪🇸 🇫🇷 🇵🇹 🇵🇪
📍San Luis-Argentina",,[],santicomba,2021-05-15 17:42:24.836179
47634979302,finsta__nicol,finsta_nicol,False,False,0,12,63,,,[],santicomba,2021-05-15 17:42:24.836179
